"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL13573";"";"";"Small molecule";"";"278.35";"1";"1";"2.30";"46.72";"4";"1";"0";"6";"N";"0.88";"None";"9.66";"1.83";"-0.41";"2";"MOL";"-1";"20";"5";"1";"0";"278.1630";"0.10";"BASE";"C15H22N2O3";"COc1cc2c(CCN(C)C)c[nH]c2c(OC)c1OC";"KTJHYSBPLLQBMF-UHFFFAOYSA-N"
"CHEMBL542510";"";"";"Small molecule";"";"297.87";"2";"2";"3.62";"23.47";"2";"1";"0";"5";"N";"0.87";"9.90";"10.90";"3.72";"1.63";"1";"MOL";"-1";"19";"2";"1";"0";"261.2093";"0.22";"BASE";"C17H28ClNO";"CCCN(CCC)[C@@H]1Cc2c(O)cccc2C[C@@H]1C.Cl";"GOUBEDQIDSPDQA-MELYUZJYSA-N"
"CHEMBL177517";"";"";"Small molecule";"";"177.25";"1";"3";"1.81";"23.47";"2";"1";"0";"2";"Y";"0.74";"10.08";"8.89";"1.54";"0.31";"1";"MOL";"-1";"13";"2";"1";"0";"177.1154";"0.52";"BASE";"C11H15NO";"CN(C)C1CC1c1cccc(O)c1";"LYTWDOIYZATBOZ-UHFFFAOYSA-N"
"CHEMBL20425";"";"";"Small molecule";"";"232.33";"1";"1";"2.59";"28.26";"2";"1";"0";"4";"N";"0.88";"None";"9.59";"2.66";"0.48";"2";"MOL";"-1";"17";"3";"1";"0";"232.1576";"-0.23";"BASE";"C14H20N2O";"COc1cc2c(CCN(C)C)c[nH]c2cc1C";"YPJSURIHBSXXMR-UHFFFAOYSA-N"
"CHEMBL3245289";"";"";"Small molecule";"";"416.48";"4";"5";"4.21";"19.03";"1";"1";"0";"1";"N";"0.71";"None";"8.56";"4.05";"2.86";"3";"MOL";"-1";"23";"2";"1";"0";"300.1626";"0.93";"BASE";"C25H24N2O4";"CN1C[C@@H](c2ccccc2)C=C2c3cccc4[nH]cc(c34)C[C@H]21.O=C(O)/C=C\C(=O)O";"QHVLEEQTUJJDTQ-DEJBJBBRSA-N"
"CHEMBL318060";"";"";"Small molecule";"";"209.25";"1";"2";"1.23";"61.55";"4";"1";"0";"4";"N";"0.76";"None";"7.52";"0.86";"0.50";"1";"MOL";"-1";"15";"4";"2";"0";"209.1052";"-0.08";"NEUTRAL";"C11H15NO3";"COc1ccc(C(=O)C(C)N)c(OC)c1";"RFHRDZSOSYEDHE-UHFFFAOYSA-N"
"CHEMBL1202242";"";"";"Small molecule";"";"286.21";"2";"5";"2.25";"32.26";"2";"2";"0";"3";"Y";"0.79";"10.57";"9.78";"2.42";"0.40";"1";"MOL";"-1";"15";"2";"2";"0";"205.1467";"0.00";"BASE";"C13H20BrNO";"Br.CCCNC1CCc2cccc(O)c2C1";"NMDKIVHZKLVPLQ-UHFFFAOYSA-N"
"CHEMBL290962";"QUINAGOLIDE";"Norprolac";"Small molecule";"";"395.57";"7";"34";"2.14";"72.88";"4";"2";"0";"7";"N";"0.74";"10.20";"8.22";"2.50";"1.61";"1";"MOL";"-1";"27";"6";"2";"0";"395.2243";"-0.25";"NEUTRAL";"C20H33N3O3S";"CCCN1C[C@@H](NS(=O)(=O)N(CC)CC)C[C@@H]2Cc3c(O)cccc3C[C@H]21";"GDFGTRDCCWFXTG-ZIFCJYIRSA-N"
"CHEMBL175593";"";"";"Small molecule";"";"205.30";"1";"3";"2.59";"23.47";"2";"1";"0";"4";"N";"0.82";"10.41";"8.97";"2.36";"0.95";"1";"MOL";"-1";"15";"2";"1";"0";"205.1467";"0.15";"BASE";"C13H19NO";"CCN(CC)C1CC1c1ccccc1O";"AYNOXGQNNKLCMU-UHFFFAOYSA-N"
"CHEMBL6756";"";"";"Small molecule";"";"232.26";"3";"6";"1.18";"41.05";"4";"1";"0";"1";"N";"0.80";"None";"8.75";"1.61";"0.24";"2";"MOL";"-1";"17";"4";"1";"0";"232.1124";"-1.93";"BASE";"C12H13FN4";"Fc1cccc2ncc(N3CCNCC3)nc12";"CLGWFMYFHBGMHA-UHFFFAOYSA-N"
"CHEMBL100635";"";"2-(2-Methoxyphenyl)Ethylamine";"Small molecule";"";"151.21";"4";"6";"1.20";"35.25";"2";"1";"0";"3";"Y";"0.70";"None";"9.71";"1.23";"-1.01";"1";"MOL";"-1";"11";"2";"2";"0";"151.0997";"-0.06";"BASE";"C9H13NO";"COc1ccccc1CCN";"WSWPCNMLEVZGSM-UHFFFAOYSA-N"
"CHEMBL544899";"";"";"Small molecule";"";"342.32";"2";"5";"3.62";"23.47";"2";"1";"0";"5";"N";"0.87";"9.90";"10.90";"3.72";"1.63";"1";"MOL";"-1";"19";"2";"1";"0";"261.2093";"0.22";"BASE";"C17H28BrNO";"Br.CCCN(CCC)[C@H]1Cc2c(O)cccc2C[C@@H]1C";"OMGYZMRQMBFFAT-LINSIKMZSA-N"
"CHEMBL468880";"";"";"Small molecule";"";"274.16";"9";"32";"2.36";"44.48";"3";"1";"0";"4";"N";"0.92";"None";"9.90";"2.26";"-0.14";"1";"MOL";"-1";"15";"3";"2";"0";"273.0364";"0.09";"BASE";"C11H16BrNO2";"COc1cc(C[C@H](C)N)c(OC)cc1Br";"FXMWUTGUCAKGQL-ZETCQYMHSA-N"
"CHEMBL545095";"";"";"Small molecule";"";"281.83";"2";"2";"2.98";"23.47";"2";"1";"0";"2";"Y";"0.87";"10.43";"9.52";"3.29";"1.42";"1";"MOL";"-1";"18";"2";"1";"0";"245.1780";"0.57";"BASE";"C16H24ClNO";"CCCN1CCC[C@H]2Cc3cccc(O)c3C[C@H]21.Cl";"XFRCSRFVCSHUCO-NQQJLSKUSA-N"
"CHEMBL308336";"";"";"Small molecule";"";"339.15";"3";"3";"0.29";"86.10";"4";"1";"0";"5";"N";"0.63";"2.76";"None";"-1.96";"-2.19";"2";"MOL";"-1";"20";"6";"1";"0";"337.9902";"-0.21";"ACID";"C13H11BrN2O4";"O=C([O-])c1ccc[n+](CCOC(=O)c2cc(Br)c[nH]2)c1";"ZQAAVTIFMIDETK-UHFFFAOYSA-N"
"CHEMBL19853";"";"";"Small molecule";"";"137.18";"6";"29";"0.68";"46.25";"2";"2";"0";"2";"Y";"0.63";"None";"9.13";"0.47";"-1.25";"1";"MOL";"-1";"10";"2";"3";"0";"137.0841";"0.41";"BASE";"C8H11NO";"NC[C@@H](O)c1ccccc1";"ULSIYEODSMZIPX-MRVPVSSYSA-N"
"CHEMBL41436";"";"";"Small molecule";"";"247.38";"9";"69";"3.37";"23.47";"2";"1";"0";"5";"N";"0.86";"9.82";"10.72";"3.54";"1.47";"1";"MOL";"-1";"18";"2";"1";"0";"247.1936";"-0.31";"BASE";"C16H25NO";"CCCN(CCC)[C@H]1CCc2cccc(O)c2C1";"ASXGJMSKWNBENU-AWEZNQCLSA-N"
"CHEMBL1202240";"";"";"Small molecule";"";"300.24";"4";"9";"2.59";"23.47";"2";"1";"0";"3";"Y";"0.84";"10.47";"9.53";"2.77";"0.88";"1";"MOL";"-1";"16";"2";"1";"0";"219.1623";"-0.31";"BASE";"C14H22BrNO";"Br.CCN(CC)C1CCc2cccc(O)c2C1";"BIDLRCLLYKJSGE-UHFFFAOYSA-N"
"CHEMBL136560";"(1R,2S)-PHENYLPROPANOLAMINE";"";"Small molecule";"";"151.21";"17";"25";"1.07";"46.25";"2";"2";"0";"2";"Y";"0.66";"13.90";"9.37";"0.89";"-1.05";"1";"MOL";"-1";"11";"2";"3";"0";"151.0997";"0.57";"BASE";"C9H13NO";"C[C@H](N)[C@H](O)c1ccccc1";"DLNKOYKMWOXYQA-CBAPKCEASA-N"
"CHEMBL323688";"";"";"Small molecule";"";"385.90";"7";"9";"2.75";"45.78";"6";"0";"0";"5";"N";"0.68";"None";"7.32";"3.55";"3.28";"3";"MOL";"-1";"27";"6";"0";"0";"385.1669";"-2.37";"NEUTRAL";"C20H24ClN5O";"CC1CN(c2cccc(Cl)c2)CCN1CCCn1nc2ccccn2c1=O";"ORJUEHXQOBCAKN-UHFFFAOYSA-N"
"CHEMBL26019";"";"2-(3,4-Dimethoxyphenyl)Ethanamine";"Small molecule";"";"181.24";"23";"32";"1.20";"44.48";"3";"1";"0";"4";"N";"0.76";"None";"9.80";"1.07";"-1.24";"1";"MOL";"-1";"13";"3";"2";"0";"181.1103";"0.28";"BASE";"C10H15NO2";"COc1ccc(CCN)cc1OC";"ANOUKFYBOAKOIR-UHFFFAOYSA-N"
"CHEMBL26998";"";"";"Small molecule";"";"247.38";"36";"169";"3.37";"23.47";"2";"1";"0";"5";"N";"0.86";"9.82";"10.72";"3.54";"1.47";"1";"MOL";"-1";"18";"2";"1";"0";"247.1936";"-0.31";"BASE";"C16H25NO";"CCCN(CCC)[C@@H]1CCc2cccc(O)c2C1";"ASXGJMSKWNBENU-CQSZACIVSA-N"
"CHEMBL373437";"";"";"Small molecule";"";"191.27";"16";"23";"1.65";"32.26";"2";"2";"0";"2";"Y";"0.74";"None";"10.02";"1.39";"-1.14";"1";"MOL";"-1";"14";"2";"2";"0";"191.1310";"0.42";"BASE";"C12H17NO";"OCc1ccccc1C1CCCNC1";"WOYZOOQUMXHPKA-UHFFFAOYSA-N"
"CHEMBL325489";"";"";"Small molecule";"";"385.90";"7";"9";"2.61";"45.78";"6";"0";"0";"5";"N";"0.68";"None";"7.40";"3.61";"3.31";"3";"MOL";"-1";"27";"6";"0";"0";"385.1669";"-2.21";"NEUTRAL";"C20H24ClN5O";"CC(CN1CCN(c2cccc(Cl)c2)CC1)Cn1nc2ccccn2c1=O";"FGQBZZXQUXZMDJ-UHFFFAOYSA-N"
"CHEMBL277540";"";"";"Small molecule";"";"195.26";"9";"13";"1.59";"44.48";"3";"1";"0";"4";"N";"0.79";"None";"10.02";"1.49";"-0.99";"1";"MOL";"-1";"14";"3";"2";"0";"195.1259";"0.18";"BASE";"C11H17NO2";"COc1ccc(CC(C)N)cc1OC";"KAZPHAGSWZTKDW-UHFFFAOYSA-N"
"CHEMBL16247";"";"";"Small molecule";"";"165.24";"8";"18";"1.58";"35.25";"2";"1";"0";"3";"Y";"0.74";"None";"9.99";"1.65";"-0.81";"1";"MOL";"-1";"12";"2";"2";"0";"165.1154";"-0.18";"BASE";"C10H15NO";"COc1cccc(CC(C)N)c1";"VEJWNIYARKAHFI-UHFFFAOYSA-N"
"CHEMBL325250";"";"";"Small molecule";"";"385.86";"7";"7";"1.89";"62.85";"6";"0";"0";"5";"N";"0.67";"None";"5.19";"2.00";"2.00";"3";"MOL";"-1";"27";"7";"0";"0";"385.1306";"-2.48";"NEUTRAL";"C19H20ClN5O2";"O=C1CN(CCCn2nc3ccccn3c2=O)CCN1c1cccc(Cl)c1";"DEUUNVFIFGPUSM-UHFFFAOYSA-N"
"CHEMBL338085";"";"";"Small molecule";"";"191.23";"1";"1";"1.43";"44.48";"3";"1";"0";"2";"Y";"0.77";"None";"9.09";"0.93";"-0.74";"1";"MOL";"-1";"14";"3";"2";"0";"191.0946";"1.05";"BASE";"C11H13NO2";"COc1ccc2c(c1)C(CN)=CCO2";"WRPMWLBWOQMPAI-UHFFFAOYSA-N"
"CHEMBL542753";"";"";"Small molecule";"";"342.32";"2";"2";"3.62";"23.47";"2";"1";"0";"5";"N";"0.87";"9.90";"10.90";"3.72";"1.63";"1";"MOL";"-1";"19";"2";"1";"0";"261.2093";"0.22";"BASE";"C17H28BrNO";"Br.CCCN(CCC)[C@@H]1Cc2c(O)cccc2C[C@H]1C";"OMGYZMRQMBFFAT-OALZAMAHSA-N"
"CHEMBL505765";"";"";"Small molecule";"";"328.29";"13";"51";"3.37";"23.47";"2";"1";"0";"5";"N";"0.86";"9.82";"10.72";"3.54";"1.47";"1";"MOL";"-1";"18";"2";"1";"0";"247.1936";"-0.31";"BASE";"C16H26BrNO";"Br.CCCN(CCC)C1CCc2cccc(O)c2C1";"BATPBOZTBNNDLN-UHFFFAOYSA-N"
"CHEMBL128079";"";"";"Small molecule";"";"135.17";"5";"6";"0.83";"43.09";"2";"1";"0";"2";"Y";"0.61";"None";"7.30";"0.61";"0.35";"1";"MOL";"-1";"10";"2";"2";"0";"135.0684";"-0.33";"NEUTRAL";"C8H9NO";"NCC(=O)c1ccccc1";"HEQOJEGTZCTHCF-UHFFFAOYSA-N"
"CHEMBL8224";"";"";"Small molecule";"";"223.32";"8";"24";"2.16";"44.48";"3";"1";"0";"5";"N";"0.83";"None";"9.93";"2.45";"0.03";"1";"MOL";"-1";"16";"3";"2";"0";"223.1572";"0.04";"BASE";"C13H21NO2";"CCc1cc(OC)c(CC(C)N)cc1OC";"HXJKWPGVENNMCC-UHFFFAOYSA-N"
"CHEMBL420095";"";"";"Small molecule";"";"165.19";"3";"5";"0.92";"44.48";"3";"1";"0";"2";"Y";"0.71";"None";"9.79";"1.01";"-1.29";"1";"MOL";"-1";"12";"3";"2";"0";"165.0790";"0.39";"BASE";"C9H11NO2";"NCCc1ccc2c(c1)OCO2";"RRIRDPSOCUCGBV-UHFFFAOYSA-N"
"CHEMBL287047";"";"2-(2,5-Dimethoxyphenyl)Ethylamine";"Small molecule";"";"181.24";"10";"17";"1.20";"44.48";"3";"1";"0";"4";"N";"0.76";"None";"9.68";"1.07";"-1.14";"1";"MOL";"-1";"13";"3";"2";"0";"181.1103";"0.05";"BASE";"C10H15NO2";"COc1ccc(OC)c(CCN)c1";"WNCUVUUEJZEATP-UHFFFAOYSA-N"
"CHEMBL34108";"";"";"Small molecule";"";"225.29";"8";"12";"1.60";"53.71";"4";"1";"0";"5";"N";"0.83";"None";"9.89";"1.33";"-1.05";"1";"MOL";"-1";"16";"4";"2";"0";"225.1365";"0.35";"BASE";"C12H19NO3";"COc1cc(OC)c(CC(C)N)c(OC)c1";"DDGNOUVDFKXADP-UHFFFAOYSA-N"
"CHEMBL47983";"";"";"Small molecule";"";"161.25";"2";"2";"2.07";"26.02";"1";"1";"0";"1";"Y";"0.67";"None";"9.81";"2.25";"-0.07";"1";"MOL";"-1";"12";"1";"2";"0";"161.1204";"-0.02";"BASE";"C11H15N";"NCC1CCCc2ccccc21";"FSEUPTSLGGJFNX-UHFFFAOYSA-N"
"CHEMBL2079629";"";"";"Small molecule";"";"165.24";"2";"20";"1.58";"35.25";"2";"1";"0";"3";"Y";"0.74";"None";"10.04";"1.65";"-0.85";"1";"MOL";"-1";"12";"2";"2";"0";"165.1154";"-0.02";"BASE";"C10H15NO";"COc1ccc(C[C@@H](C)N)cc1";"NEGYEDYHPHMHGK-MRVPVSSYSA-N"
"CHEMBL1202241";"";"";"Small molecule";"";"272.19";"2";"5";"1.81";"23.47";"2";"1";"0";"1";"Y";"0.73";"10.35";"9.10";"2.19";"0.69";"1";"MOL";"-1";"14";"2";"1";"0";"191.1310";"0.31";"BASE";"C12H18BrNO";"Br.CN(C)C1CCc2cccc(O)c2C1";"BETQCYFOBHOYQM-UHFFFAOYSA-N"
"CHEMBL373508";"";"";"Small molecule";"";"205.26";"24";"32";"1.85";"49.33";"2";"2";"0";"2";"Y";"0.77";"3.87";"10.03";"-0.66";"-0.66";"1";"MOL";"-1";"15";"3";"2";"0";"205.1103";"0.06";"ZWITTERION";"C12H15NO2";"O=C(O)c1ccccc1C1CCCNC1";"BAWNTPWIVXZYLH-UHFFFAOYSA-N"
"CHEMBL541268";"";"";"Small molecule";"";"328.29";"12";"38";"3.37";"23.47";"2";"1";"0";"5";"N";"0.86";"9.82";"10.72";"3.54";"1.47";"1";"MOL";"-1";"18";"2";"1";"0";"247.1936";"-0.31";"BASE";"C16H26BrNO";"Br.CCCN(CCC)[C@@H]1CCc2cccc(O)c2C1";"BATPBOZTBNNDLN-PFEQFJNWSA-N"
"CHEMBL8389";"";"";"Small molecule";"";"225.29";"12";"37";"1.60";"53.71";"4";"1";"0";"5";"N";"0.83";"None";"9.94";"1.33";"-1.09";"1";"MOL";"-1";"16";"4";"2";"0";"225.1365";"0.24";"BASE";"C12H19NO3";"COc1cc(OC)c(OC)cc1CC(C)N";"TVSIMAWGATVNGK-UHFFFAOYSA-N"
"CHEMBL414183";"";"";"Small molecule";"";"244.30";"4";"9";"1.09";"52.49";"5";"1";"0";"1";"N";"0.81";"12.08";"7.16";"2.14";"1.94";"2";"MOL";"-1";"18";"5";"1";"0";"244.1324";"-1.02";"NEUTRAL";"C13H16N4O";"CN1CCN(c2nc3ccccc3nc2O)CC1";"FKFNPTZCZKTCNF-UHFFFAOYSA-N"
"CHEMBL174774";"";"";"Small molecule";"";"233.35";"1";"9";"3.37";"23.47";"2";"1";"0";"6";"N";"0.81";"9.59";"10.44";"2.99";"1.09";"1";"MOL";"-1";"17";"2";"1";"0";"233.1780";"-0.03";"BASE";"C15H23NO";"CCCN(CCC)C1CC1c1cccc(O)c1";"SGAIAYHFAITRSL-UHFFFAOYSA-N"
"CHEMBL134519";"";"";"Small molecule";"";"321.16";"22";"76";"2.20";"44.48";"3";"1";"0";"4";"N";"0.86";"None";"9.90";"2.42";"0.02";"1";"MOL";"-1";"15";"3";"2";"0";"321.0226";"-0.04";"BASE";"C11H16INO2";"COc1cc(C[C@@H](C)N)c(OC)cc1I";"BGMZUEKZENQUJY-SSDOTTSWSA-N"
"CHEMBL117507";"";"";"Small molecule";"";"385.90";"7";"9";"2.75";"45.78";"6";"0";"0";"5";"N";"0.68";"None";"7.32";"3.55";"3.28";"3";"MOL";"-1";"27";"6";"0";"0";"385.1669";"-2.34";"NEUTRAL";"C20H24ClN5O";"CC(CCn1nc2ccccn2c1=O)N1CCN(c2cccc(Cl)c2)CC1";"KNYIQWUXTSJAQW-UHFFFAOYSA-N"
"CHEMBL1202248";"";"";"Small molecule";"";"312.25";"2";"5";"2.74";"23.47";"2";"1";"0";"1";"Y";"0.80";"10.44";"9.21";"2.97";"1.35";"1";"MOL";"-1";"17";"2";"1";"0";"231.1623";"0.19";"BASE";"C15H22BrNO";"Br.Oc1cccc2c1CC(N1CCCCC1)CC2";"MMSFIXKHNZCTAX-UHFFFAOYSA-N"
"CHEMBL544668";"";"";"Small molecule";"";"297.87";"2";"6";"3.62";"23.47";"2";"1";"0";"5";"N";"0.87";"9.90";"10.90";"3.72";"1.63";"1";"MOL";"-1";"19";"2";"1";"0";"261.2093";"0.22";"BASE";"C17H28ClNO";"CCCN(CCC)[C@H]1Cc2c(O)cccc2C[C@H]1C.Cl";"GOUBEDQIDSPDQA-CACIRBSMSA-N"
"CHEMBL103299";"";"2-(4-Methylphenyl)Ethylamine";"Small molecule";"";"135.21";"8";"12";"1.50";"26.02";"1";"1";"0";"2";"Y";"0.65";"None";"9.81";"1.90";"-0.42";"1";"MOL";"-1";"10";"1";"2";"0";"135.1048";"-0.15";"BASE";"C9H13N";"Cc1ccc(CCN)cc1";"VKJXAQYPOTYDLO-UHFFFAOYSA-N"
